ArrayIndex,Sum[]
1,5203202.5
2,5180587
3,5254451
4,5041336.5
5,5068700
6,4775886
7,4631405.5
8,4440382
9,4314144
10,4254156.5
11,4003684
12,3722006
13,3503164.25
14,3444995.25
15,2892245
16,2737418.5
17,2469026
18,2180680.75
19,1849966.25
20,1506462.75
21,1283154.75
22,572608.44
23,740272.56
24,139539.62
25,-37356.56
26,-631113.25
27,-811618.5
28,-1025968.38
29,-1293420.38
30,-1748946.25
31,-1805477.75
32,-2262905.5
33,-2172666.75
34,-2663387.5
35,-3031099
36,-2957616.25
37,-3198536.5
38,-3469832.5
39,-3587258.75
40,-3747757
41,-3934569.75
42,-3971803.25
43,-4037627.25
44,-4034861
45,-4359238
46,-4231653
47,-4248124
48,-4154834.75
49,-4010430
50,-4152041
51,-4130481.25
52,-3859556.5
53,-3859395.25
54,-3689075.75
55,-3559080.5
56,-3520163.75
57,-3213722.75
58,-2993925
59,-2847064.5
60,-2559341.25
61,-2372629.5
62,-2021418.12
63,-1956747.88
64,-1516182.12
65,-1475062.25
66,-1057768.88
67,-894037.88
68,-589774.56
69,-466935.69
70,-175140.23
71,109706.59
72,373428.78
73,690646.38
74,998428.75
75,1094395.75
76,1573047
77,1724273.5
78,1925968.75
79,1927249.75
80,2228143
81,2326931
82,2535181
83,2764493.25
84,2682576
85,2955579.75
86,3020957.25
87,3121636.75
88,3038135.5
89,3094655
90,3233125.5
91,3188334.75
92,3108901
93,2933991.25
94,2960194.75
95,2773740
96,2865291
97,2701090.75
98,2491878.5
99,2282899
100,2426346.5
101,2198752.75
102,1858148.5
103,1638002.5
104,1230810
105,1098889.62
106,905828.81
107,605550.56
108,471865.41
109,95176.95
110,-262504.31
111,-322360.25
112,-450422.72
113,-793315.19
114,-1201279.62
115,-1398776.12
116,-1760004.38
117,-1918716.88
118,-2134745.25
119,-2415994.75
120,-2465392.5
121,-2816712.5
122,-3074347.75
123,-3470042.5
124,-3433911
125,-3615206.5
126,-3740217.5
127,-3957379
128,-3983678.75
129,-4009629.75
130,-4200445
131,-4246720.5
132,-4074233.5
133,-4157544.75
134,-4335502.5
135,-4315364
136,-4172571
137,-3916382.75
138,-4024920.5
139,-3717979.5
140,-3644930.75
141,-3598171.5
142,-3379012.25
143,-3201006.75
144,-3218348.5
145,-2809680.5
146,-2501624.5
147,-2303316.25
148,-2250768
149,-1702500
150,-1631660.88
151,-1109732.88
152,-1092459.25
153,-694849.44
154,-244640.27
155,-61314.61
156,138671.94
157,606315.62
158,878227.31
159,1094499.62
160,1715620.38
161,1868691.88
162,2184409
163,2356754.75
164,2767147.25
165,3129922
166,3211249
167,3535574.25
168,3796287
169,3818761
170,4393561.5
171,4401238
172,4543759
173,4581355
174,4893894
175,5043027
176,4981887.5
177,5182134.5
178,5201146.5
179,5221001.5
180,5140118
181,5209170
182,5316669
183,5118288
184,4920486
185,4919436.5
186,4818165
187,4861684
188,4689018.5
189,4323278
190,4198514
191,3960887.25
192,3715713
193,3576697
194,3363070.5
195,2989945.25
196,2707889.5
197,2610089
198,2024680.62
199,1815425.88
200,1452092.75
201,1157175.5
202,1087238.62
203,570344.81
204,166068.97
205,7453.7
206,-324292
207,-522831.31
208,-787856.94
209,-1524426.38
210,-1472278.88
211,-1908066.88
212,-2218320
213,-2188345
214,-2776610.75
215,-2878556.5
216,-3093958
217,-3354604.25
218,-3339770.75
219,-3600977.5
220,-3832537.5
221,-3868456
222,-3864089
223,-4002888.75
224,-4055627.75
225,-4272923
226,-4194175.5
227,-4139288
228,-4067634
229,-4060126.25
230,-4059603.5
231,-4156183.25
232,-3966802.25
233,-3898356.25
234,-3715344.5
235,-3467281.25
236,-3545725.25
237,-3105455
238,-3046212.75
239,-2827435
240,-2693752.25
241,-2477321.75
242,-2242224.25
243,-1830911.38
244,-1743016.12
245,-1350061.75
246,-1006546.62
247,-927298.81
248,-576086.25
249,-325442.75
250,-148245.39
251,230220.33
252,518067.41
253,556918.5
254,1064976.25
255,1326266.12
256,1409153.25
257,1644060.12
258,1794360
259,2026966.88
260,2246739.5
261,2618800.75
262,2566678.5
263,2724362.25
264,2816613.5
265,2952558.25
266,2873518.75
267,3148592.5
268,3200482.25
269,3107102.5
270,3268799.5
271,3089548.5
272,3088030.5
273,3040768.5
274,2920960.25
275,2900040
276,2745322
277,2637550.75
278,2728902.5
279,2397309.5
280,2156995.25
281,2108779.5
282,1929437
283,1608257.5
284,1405892
285,1021698.38
286,1084287.25
287,764714
288,446033.41
289,198005.06
290,-195491.12
291,-259665.34
292,-497488.34
293,-865552.44
294,-1143096.62
295,-1273754.5
296,-1540348.75
297,-1888473.5
298,-2157600.5
299,-2443919.25
300,-2587698.25
301,-2722486.75
302,-3191032
303,-3269678.5
304,-3495982.5
305,-3555866
306,-3579798.75
307,-3888318.25
308,-3841288
309,-4178710.5
310,-4198714
311,-4218844.5
312,-4261801
313,-4210544.5
314,-4179534.5
315,-4198087
316,-4082225
317,-3962623.75
318,-4074009.25
319,-3971806.75
320,-3713424.5
321,-3588301.5
322,-3340146.75
323,-3336741.25
324,-3117186.25
325,-2917868.25
326,-2596867.5
327,-2392223.5
328,-2189044
329,-2063738.25
330,-1542623.12
331,-1155559.75
332,-883421.12
333,-617304.5
334,-470316.75
335,25061.05
336,208446.27
337,654274.38
338,843246.44
339,1200331.88
340,1656798.38
341,1771020.62
342,2141950.25
343,2486927.75
344,2665563
345,2909974.25
346,3078908
347,3552411.5
348,3781041.5
349,3964714.75
350,4176190.25
351,4442318.5
352,4507497.5
353,4766355
354,4849081.5
355,4831880.5
356,4841737
357,5058417.5
358,5021126
359,5366828
360,5313251.5
361,5135655.5
362,5218752
363,4983583
364,5165449.5
365,5132171.5
366,5056967
367,4735639
368,4558855.5
369,4363140.5
370,4117173
371,3917607.5
372,3754556.5
373,3449487.75
374,3207745
375,3045057.75
376,2661193
377,2475006.25
378,2195940.25
379,1877343.75
380,1573360.5
381,1338594.38
382,858471.25
383,666247.19
384,275634.41
385,42614.12
386,-390838.56
387,-620496.31
388,-970286.56
389,-1322823.12
390,-1524022.5
391,-2014956.75
392,-2046873.88
393,-2466918.75
394,-2549180.5
395,-2677854.75
396,-3132812.75
397,-3317049.5
398,-3520173
399,-3588896
